age,job,employment_duration,number_credits,other_debtors,personal_status_sex,foreign_worker,amount,status,duration,credit_history,people_liable,installment_rate,savings,telephone,property,purpose,other_installment_plans,housing,present_residence,credit_risk
30,4,5,2,1,3,2,5965,2,27,3,2,1,1,2,3,1,3,2,2,1
40,3,3,1,1,3,2,3777,4,24,4,2,4,4,2,1,2,3,2,4,1
34,2,3,1,1,3,2,2864,3,18,2,1,2,1,1,1,2,3,2,1,0
27,3,3,1,1,3,2,1657,1,12,2,2,2,1,1,1,2,3,2,2,1
24,3,3,1,1,3,2,458,2,9,2,2,4,1,1,1,3,3,2,3,1
26,2,2,1,1,4,1,590,2,6,2,2,3,1,1,1,3,3,2,3,1
75,4,1,1,1,2,2,1374,1,6,2,2,4,5,2,2,0,3,2,3,1
21,3,4,1,1,2,2,10144,4,60,2,2,2,2,2,1,3,3,2,4,1
33,3,2,1,1,4,2,1474,4,24,2,2,4,2,2,1,0,3,2,3,1
24,3,3,1,1,2,2,935,4,6,3,2,3,1,1,1,3,3,2,2,1
57,4,5,1,1,3,2,14318,2,36,2,2,4,1,2,4,0,3,3,2,0
44,3,2,1,1,3,2,1804,2,12,4,2,3,2,1,2,1,3,2,4,1
46,3,5,2,1,1,2,1223,2,12,2,2,1,1,1,1,0,3,1,1,0
27,3,3,2,1,2,2,1237,4,6,4,2,1,2,1,2,3,3,2,1,1
35,2,2,1,1,2,2,10722,1,47,2,2,1,1,2,1,0,3,2,1,1
49,2,5,1,1,1,2,1262,1,12,2,2,2,5,2,2,2,3,2,4,1
28,4,2,1,1,4,2,9398,2,36,2,2,1,1,2,3,1,3,1,4,0
31,4,4,1,1,3,2,8947,4,36,3,1,3,5,2,3,1,2,2,2,1
31,3,3,1,1,3,2,6110,4,48,4,2,1,1,2,4,6,1,3,3,1
36,2,3,1,1,3,2,1374,1,6,2,2,1,1,2,1,2,1,2,2,1
36,3,5,1,2,3,2,7297,1,60,2,2,4,1,1,4,9,3,1,4,0
41,4,5,2,1,2,2,3868,4,24,4,2,4,1,2,3,1,3,1,2,1
21,3,3,1,1,2,2,2570,4,27,2,2,3,1,1,1,0,3,1,3,0
31,3,3,1,1,2,2,6758,1,48,2,2,3,1,2,3,3,3,2,2,0
30,4,3,1,1,3,2,11054,4,36,4,2,4,5,2,3,1,3,2,2,1
38,2,3,2,1,3,1,2171,1,12,4,2,4,1,1,2,0,1,2,4,1
31,2,2,1,1,1,2,3108,1,30,2,2,2,1,1,2,2,3,2,4,0
57,2,1,3,1,2,2,1154,4,11,4,2,4,2,1,1,3,3,2,4,1
30,3,3,2,1,3,2,2121,1,12,4,2,4,1,1,2,0,3,2,2,1
27,3,4,1,1,2,2,2930,2,12,2,2,2,1,1,1,3,3,2,1,1
39,4,4,1,1,3,2,3249,1,36,2,1,2,1,2,4,0,1,3,4,1
40,3,4,1,1,2,2,3001,2,18,2,2,2,1,1,1,2,3,1,4,1
34,3,3,2,1,3,2,5800,2,36,4,2,3,1,2,3,1,3,2,4,1
37,3,3,1,3,3,2,3620,1,36,2,1,1,1,1,2,2,3,2,2,1
27,3,1,1,1,3,2,4576,2,45,4,2,3,2,1,3,1,3,2,4,1
43,3,5,3,1,3,2,1935,4,12,4,2,4,1,2,1,2,3,2,4,1
28,3,4,3,1,4,2,939,3,12,4,2,4,3,2,1,0,3,2,2,0
27,3,2,1,1,3,2,1995,2,12,4,2,4,2,1,3,0,3,2,1,1
23,2,3,1,1,3,2,1048,2,10,1,2,4,1,1,1,3,2,2,4,1
34,3,3,2,1,2,2,4454,4,36,3,2,4,1,1,1,3,3,2,4,1
39,3,4,3,1,3,2,10297,1,48,2,1,4,1,2,4,1,3,3,4,0
36,4,4,1,1,1,2,2366,2,12,4,2,3,3,2,3,0,3,2,3,1
27,3,3,2,1,2,2,1185,4,12,4,2,3,1,1,1,9,3,2,2,1
26,2,3,2,1,3,2,4272,4,30,3,2,2,2,1,2,9,3,2,2,1
22,3,4,1,1,2,2,1808,4,18,3,2,4,1,1,1,2,3,2,1,0
30,3,2,1,1,3,2,3349,1,24,1,1,4,3,2,4,2,3,3,4,0
23,3,2,2,1,2,2,2146,4,10,4,2,1,1,1,1,2,3,1,3,1
27,4,3,1,1,3,2,3416,1,27,2,2,3,1,1,3,3,3,2,2,1
20,4,3,1,1,3,2,1107,1,12,2,1,2,1,2,1,3,3,1,2,1
41,2,2,1,1,3,2,2580,4,21,3,1,4,3,1,1,9,1,2,2,0
24,3,3,1,1,3,2,5848,3,36,2,2,4,1,1,3,3,3,2,1,1
26,3,3,1,1,3,2,8229,1,36,2,1,2,1,1,2,1,3,2,2,0
44,3,3,1,1,3,2,2647,1,6,2,1,2,3,1,1,3,3,1,3,1
50,3,5,2,1,3,2,2241,4,21,2,2,4,1,1,1,2,3,2,2,1
33,3,3,2,3,4,1,2235,1,20,4,2,4,1,1,2,0,1,1,2,0
29,1,1,2,2,2,2,1193,1,24,1,2,1,1,1,4,0,3,1,4,0
19,2,2,1,1,2,2,983,2,12,2,2,1,4,1,1,2,3,1,4,1
41,2,5,1,1,3,2,888,2,12,2,1,4,1,1,3,0,1,2,4,0
26,3,3,1,1,2,2,763,4,12,2,2,4,1,2,1,2,3,2,1,1
22,3,3,1,1,3,2,2828,1,24,1,2,4,3,2,1,2,2,2,4,1
31,3,2,1,1,2,2,2901,4,10,2,2,1,5,1,1,1,3,1,4,1
45,2,5,1,2,3,1,1287,4,10,2,2,4,5,1,2,0,3,2,2,1
23,3,4,1,1,2,2,2406,1,30,2,2,4,1,1,1,2,3,1,4,0
61,4,5,1,1,3,2,1953,2,36,0,2,4,1,2,4,9,3,3,4,0
27,3,3,1,1,3,2,5998,1,40,4,2,4,1,2,4,6,1,2,3,0
42,3,3,1,1,2,2,3804,2,36,0,2,4,1,2,3,3,3,2,1,0
28,3,2,1,1,2,2,4113,2,24,2,2,3,3,1,3,1,3,1,4,0
28,3,5,3,1,3,2,3617,2,12,4,2,1,1,2,3,2,3,1,4,1
51,3,5,1,1,1,2,2892,3,24,2,2,3,1,1,4,2,3,3,4,1
27,2,2,2,1,4,2,937,4,24,2,2,4,1,1,3,8,3,2,3,1
36,3,4,2,1,3,2,1262,4,15,2,2,4,3,2,2,4,3,2,3,1
23,3,2,2,3,3,2,882,2,13,4,2,4,1,1,1,3,3,2,4,1
49,2,3,1,1,1,2,640,4,12,2,2,4,1,1,1,0,3,2,2,1
49,3,4,1,1,3,2,8386,2,30,4,2,2,1,1,2,2,3,2,2,0
30,3,4,1,1,3,2,3566,2,48,1,2,4,2,1,3,9,3,2,2,1
22,3,2,1,1,2,2,1670,2,9,2,2,4,1,2,3,3,3,2,2,0
38,3,5,2,1,2,2,1240,4,12,4,2,4,5,2,1,3,3,2,2,1
22,3,3,1,1,2,2,1567,2,12,2,2,1,1,2,3,3,3,2,1,1
43,3,5,1,3,3,1,2625,1,16,4,2,2,1,2,2,0,3,1,4,0
23,1,1,1,1,2,2,1352,1,6,2,2,1,3,2,2,1,3,1,2,1
22,3,3,1,1,3,2,2483,1,24,1,2,4,3,2,1,2,2,2,4,1
34,3,5,2,1,3,2,2759,4,12,0,2,2,1,1,2,2,3,2,4,1
27,3,3,1,1,3,2,2326,2,15,4,2,2,3,1,3,9,1,2,4,1
34,4,2,1,1,2,2,3017,2,12,2,2,3,1,1,1,2,3,1,1,1
27,3,2,1,1,2,2,343,1,6,2,2,4,1,1,1,4,3,2,1,1
43,3,5,1,1,3,2,1203,1,6,2,2,3,2,2,2,0,3,2,2,1
27,3,2,1,1,2,2,1924,2,18,2,2,4,5,1,1,2,3,1,3,0
55,4,1,1,1,3,2,9283,2,42,1,2,1,1,2,4,1,1,3,2,1
25,3,2,3,1,3,2,8072,1,30,0,2,2,5,1,3,9,1,2,3,1
41,2,3,2,1,2,2,250,4,6,4,2,2,4,1,1,0,1,2,2,1
20,3,5,2,2,3,2,3617,3,24,4,2,4,5,1,4,2,3,1,4,1
30,3,5,1,1,3,2,2862,2,36,3,2,4,2,1,4,0,3,3,3,1
24,3,4,1,1,2,2,8487,2,48,2,2,1,5,1,3,0,3,2,2,1
27,3,2,2,2,2,1,2132,1,10,4,2,2,5,1,1,2,3,1,3,1
45,2,3,1,1,3,2,4006,1,28,2,2,3,1,1,3,0,3,2,2,0
46,3,5,2,1,3,1,1343,3,6,4,1,1,1,1,1,0,3,2,4,1
38,1,1,1,1,2,2,926,4,12,4,2,1,1,1,2,0,3,2,2,1
35,4,2,2,1,1,2,3780,4,18,4,2,3,1,2,3,2,3,2,2,1
37,3,3,3,1,3,2,3676,1,6,4,1,1,1,1,1,0,3,1,3,1
42,3,3,1,2,3,2,4153,1,18,2,2,2,1,1,3,2,3,2,3,0
36,3,5,1,1,3,2,846,4,7,3,2,3,5,1,4,3,3,3,4,1
32,3,2,1,1,3,2,4594,4,18,2,2,3,1,2,3,3,3,2,2,1
64,3,1,1,1,2,2,1409,4,13,2,2,2,2,1,1,3,3,2,4,1
39,3,5,1,1,2,2,1188,2,21,2,1,2,1,1,2,9,3,2,4,0
41,3,4,2,1,3,2,3979,2,48,2,1,4,5,2,3,3,3,2,1,1
34,3,4,2,1,3,2,2825,2,24,4,1,4,5,2,4,9,3,2,3,1
64,3,3,1,3,2,2,753,2,6,2,2,2,1,1,1,3,3,2,3,1
24,1,1,1,1,2,2,7472,2,12,2,2,1,5,1,1,0,3,1,2,1
53,3,3,2,1,3,2,7119,1,48,0,1,3,1,1,4,2,3,3,4,0
22,3,3,1,1,4,2,1007,2,12,2,2,4,4,1,1,0,3,2,1,1
35,3,3,1,1,2,2,1381,1,24,2,2,4,5,1,2,0,3,2,2,0
37,2,2,1,1,2,2,1274,1,12,2,2,3,1,1,1,0,1,2,1,0
35,1,2,1,1,3,2,1549,2,9,2,2,4,5,1,1,0,3,2,2,1
24,2,2,1,2,3,1,1747,1,24,2,2,4,1,1,2,2,3,2,1,1
36,3,5,1,1,3,2,2337,2,36,4,2,4,1,1,1,3,3,2,4,1
31,3,3,2,1,2,2,9566,4,36,4,2,2,1,1,3,3,2,2,2,1
26,3,2,2,1,3,2,3414,1,21,3,2,2,1,1,2,6,2,2,1,0
28,3,5,2,1,1,2,1323,3,6,4,1,2,2,2,3,0,3,2,4,1
23,4,3,2,1,2,2,11560,2,24,2,2,1,1,1,3,1,3,1,4,0
55,3,5,2,1,3,2,1555,4,12,3,1,4,4,1,4,5,3,3,4,0
60,3,5,2,1,3,2,2246,1,12,4,2,3,1,1,2,2,3,2,3,0
70,4,1,1,1,3,2,7308,2,10,2,2,2,1,2,4,0,1,3,4,1
36,3,4,2,1,3,2,6742,4,30,4,2,2,5,1,2,3,3,2,3,1
54,3,5,1,1,3,2,1318,2,12,2,2,4,4,2,1,0,3,2,4,1
46,3,3,2,1,3,2,1149,4,18,4,2,4,4,1,1,3,3,2,3,1
35,3,3,2,1,3,2,4151,4,24,3,2,2,2,1,2,2,3,2,3,1
31,3,3,2,1,3,2,3148,3,24,4,2,3,5,2,3,3,3,2,2,1
27,3,2,2,1,3,2,7980,4,36,3,2,4,5,2,3,9,3,1,4,0
40,4,5,1,1,3,2,1358,1,24,1,2,4,5,2,3,10,2,2,3,0
36,3,5,1,1,3,2,2872,4,24,4,1,3,2,2,1,3,3,2,4,1
66,4,5,1,1,3,2,1908,3,30,3,2,4,1,2,1,9,3,2,4,0
23,3,2,1,1,4,2,1534,2,12,2,2,1,1,1,1,3,3,1,1,0
38,3,5,1,1,3,2,804,4,12,2,2,4,1,1,3,3,3,2,4,1
34,4,1,2,1,3,2,1860,2,12,4,2,4,1,2,3,1,3,2,2,1
21,2,3,1,3,3,2,1289,1,12,2,2,4,1,1,2,2,3,2,1,1
20,3,2,1,1,2,2,1577,2,11,2,2,4,4,1,1,2,3,2,1,1
42,3,5,1,1,3,2,1346,4,6,2,1,2,2,2,4,3,1,3,4,1
54,3,5,2,1,4,2,717,4,24,3,2,4,5,2,3,0,3,2,4,1
64,3,3,1,1,2,2,1364,4,10,2,2,2,1,2,3,0,3,2,4,1
65,3,3,2,1,3,2,2600,1,18,2,2,4,1,1,4,3,3,3,4,0
28,3,3,2,1,4,2,1887,2,18,4,2,4,5,1,1,9,1,2,4,1
35,3,5,1,1,2,2,5324,4,15,2,2,1,3,1,4,0,3,3,4,1
25,3,3,1,1,3,2,2136,1,9,2,2,3,1,1,1,2,3,2,2,1
26,3,4,1,1,3,2,4788,1,48,2,1,4,1,1,2,1,3,2,3,1
26,3,3,1,1,2,2,1715,2,30,2,2,4,5,1,3,3,3,2,1,1
34,3,4,1,1,2,2,1525,4,24,2,1,4,4,2,3,0,3,2,3,1
33,2,5,1,1,2,2,797,4,12,4,1,4,5,1,2,3,3,2,3,0
40,1,1,1,1,3,2,5381,2,48,2,2,3,5,2,4,10,1,3,4,1
25,3,3,1,1,2,2,2394,4,36,2,2,4,5,1,3,3,3,2,4,1
36,4,1,1,2,3,2,12169,2,48,1,2,4,5,2,4,0,3,3,4,1
29,3,2,1,1,2,2,2171,4,12,2,2,2,1,1,3,3,1,2,2,1
60,2,5,2,1,3,2,1199,1,24,4,2,4,1,1,3,0,3,2,4,0
20,3,3,1,1,2,2,2221,4,15,2,2,2,3,1,3,2,3,1,4,1
27,4,4,1,1,3,2,14027,2,60,2,2,4,1,2,4,0,3,2,2,0
29,2,2,1,1,3,1,1494,3,4,2,1,1,5,1,1,0,3,2,2,1
41,3,5,1,1,3,2,6361,2,18,4,2,2,1,2,4,2,3,2,1,1
27,3,4,2,1,4,2,2463,4,24,4,2,4,2,2,2,0,3,2,3,1
26,1,2,2,1,2,2,1778,2,15,0,2,2,1,1,1,0,3,1,1,0
62,3,3,1,1,1,2,1338,4,6,2,2,1,3,1,1,4,3,2,4,1
27,2,3,1,1,3,2,7418,2,60,3,2,1,5,1,1,3,3,2,1,1
26,3,5,2,1,3,2,1934,4,12,4,2,2,1,1,4,3,3,2,2,1
54,3,5,1,1,3,2,1409,1,12,4,2,4,1,1,1,1,3,2,3,1
35,3,3,1,3,3,1,2576,2,7,2,2,2,1,1,1,3,3,2,2,1
61,3,3,2,1,4,2,1512,2,15,3,2,3,4,1,2,5,2,2,3,0
30,3,5,2,3,3,2,1056,2,18,4,2,3,1,1,1,0,3,2,3,0
41,2,5,1,1,3,2,719,4,12,2,1,4,1,1,3,6,1,2,4,0
27,3,4,2,1,3,2,1347,3,10,4,2,4,5,2,2,3,3,2,2,1
22,3,3,1,3,3,2,1514,2,15,2,2,4,2,1,1,5,3,2,2,1
26,1,2,1,1,2,2,609,3,12,1,2,4,1,1,1,9,1,2,1,0
35,3,2,1,1,2,2,2439,1,24,2,2,4,1,2,1,3,3,2,4,0
29,3,3,1,1,2,2,959,2,9,2,2,1,1,1,3,2,1,2,2,0
27,4,3,1,1,3,2,9157,2,60,3,2,2,5,1,4,3,3,3,2,1
32,3,2,1,1,1,2,1938,1,24,2,2,4,1,1,2,3,3,2,3,0
36,4,1,1,1,3,2,1238,4,6,2,1,4,5,2,2,8,3,2,4,1
37,3,5,2,1,3,2,7409,4,36,2,2,3,5,1,2,9,3,2,2,1
31,3,5,1,1,3,2,4473,3,36,2,2,4,1,1,3,3,3,2,2,1
44,3,3,2,1,3,2,2375,4,24,3,1,4,3,2,3,9,3,2,2,1
25,3,2,2,1,3,2,3105,4,24,2,2,4,5,1,3,3,3,2,2,1
36,4,5,1,1,1,2,3235,4,24,2,2,3,3,2,3,3,3,2,2,1
25,3,3,2,1,2,2,2238,4,18,4,2,2,1,1,3,3,3,2,1,1
32,4,3,1,1,2,1,18424,2,48,0,2,1,1,2,2,10,1,2,2,0
25,3,3,2,1,1,2,975,1,15,4,2,2,1,1,2,2,3,2,3,1
31,3,4,2,1,3,2,2775,4,18,4,2,2,1,1,2,0,1,2,2,0
26,3,2,1,1,3,2,1201,2,24,2,2,4,1,1,2,0,3,2,1,1
42,4,5,1,1,3,2,10366,4,60,2,2,2,1,2,2,0,3,2,4,1
36,3,3,1,1,3,2,3079,4,36,2,2,4,5,1,1,0,3,2,4,1
25,3,5,1,1,2,2,2762,2,12,2,2,1,5,2,2,2,3,2,2,0
37,3,3,1,1,2,2,2022,4,24,4,2,4,1,2,3,0,3,2,4,1
40,3,4,2,1,2,2,7678,4,36,3,2,2,3,2,3,2,3,2,4,1
28,3,5,1,1,3,2,1068,2,6,2,1,4,1,1,3,3,3,2,4,1
47,2,3,2,1,4,2,1316,4,15,4,2,2,3,1,2,3,3,2,2,1
27,3,4,1,1,3,2,3552,1,24,1,2,3,1,1,3,2,1,2,4,0
37,2,4,2,1,3,2,1344,3,24,4,1,4,5,1,1,0,1,2,2,0
30,4,3,2,1,1,2,4455,2,36,3,2,2,1,2,1,9,2,2,2,0
27,3,3,2,1,3,2,5804,4,24,4,2,4,4,1,1,1,3,2,2,1
34,4,4,1,1,3,2,2910,1,24,2,2,2,1,2,4,1,3,3,1,1
27,3,3,1,1,2,2,3609,4,48,1,2,1,1,1,1,9,2,2,1,1
63,2,5,2,1,3,2,1655,4,12,4,2,2,1,2,1,3,3,2,4,1
42,3,5,1,1,2,2,5084,2,24,2,2,2,5,2,3,3,3,2,4,1
35,3,5,2,1,3,2,2397,4,24,2,2,3,3,2,3,3,1,2,2,0
34,4,2,2,1,3,2,1337,3,9,0,2,4,1,2,3,3,3,2,2,0
61,3,3,1,1,3,2,1239,2,18,2,2,4,5,1,4,6,3,3,4,1
31,3,5,2,1,1,2,1449,2,6,3,1,1,2,1,3,9,1,2,2,1
40,1,1,3,1,4,2,3590,2,18,4,1,3,1,2,3,9,3,2,3,1
20,3,4,1,1,2,2,3186,4,15,2,2,2,4,1,3,0,3,1,3,1
32,3,4,1,1,3,1,2662,4,18,2,2,4,5,1,2,0,3,2,3,1
28,2,2,2,1,3,2,1797,1,13,4,2,3,1,1,2,9,1,2,1,1
24,3,5,2,1,2,2,4272,1,20,4,2,1,1,1,2,2,3,2,4,1
36,3,4,1,1,1,2,1372,1,12,2,2,2,1,1,3,0,3,2,3,0
38,3,5,2,1,3,2,754,2,12,2,2,4,5,1,2,8,3,2,4,1
30,4,5,1,1,3,2,2333,4,30,2,2,4,3,1,3,3,1,2,2,1
48,3,2,1,1,4,2,1024,1,24,3,2,4,1,1,1,3,2,2,4,0
33,3,4,2,3,4,2,1851,4,24,4,2,4,1,2,3,3,3,2,2,1
31,4,4,2,1,3,2,1963,4,12,2,1,4,1,2,3,3,3,1,2,1
24,3,3,1,1,4,2,5595,2,72,2,2,2,2,1,3,3,3,2,2,0
33,3,3,2,1,1,2,2058,4,24,4,2,4,1,2,1,5,3,2,2,1
67,4,4,2,1,2,2,1199,2,9,2,2,4,1,2,2,6,3,2,4,1
28,3,4,1,1,3,2,2284,4,24,2,2,4,1,2,3,3,3,2,2,1
24,3,3,1,1,2,2,1237,2,8,2,2,3,1,1,1,2,3,2,4,0
26,3,2,1,1,2,2,3114,1,18,0,2,1,1,1,2,2,3,1,4,0
42,3,5,1,1,3,2,3331,4,12,4,2,2,1,1,2,2,2,2,4,1
26,3,2,1,1,2,2,9960,2,48,2,2,1,1,2,3,2,1,2,2,0
49,3,5,1,1,3,2,2964,1,24,2,1,4,5,2,4,1,1,3,4,1
23,3,2,1,1,2,2,1236,4,9,2,2,1,1,2,1,4,3,1,4,1
27,3,2,1,1,2,2,3123,1,24,2,2,4,1,1,2,0,3,2,1,0
36,3,5,1,1,3,2,884,2,18,4,1,4,1,2,3,0,3,2,4,0
26,3,3,1,1,3,2,4210,3,36,2,2,4,1,1,3,3,3,2,2,0
44,4,3,1,1,1,2,3384,1,6,4,2,1,1,2,1,2,3,1,4,0
47,3,5,1,1,2,2,1377,3,24,2,2,4,2,2,4,3,3,3,2,1
52,3,5,2,1,3,2,936,4,9,4,2,4,3,2,3,6,3,2,2,1
48,2,2,2,1,3,1,2241,1,10,4,1,1,1,1,1,0,3,1,3,1
32,3,2,1,1,2,2,2528,2,27,2,1,4,1,2,2,9,3,2,1,1
41,3,3,1,1,3,2,2116,3,6,2,2,2,1,2,1,2,3,2,2,1
35,3,5,2,1,3,2,976,4,12,4,2,4,5,1,3,3,3,2,4,1
37,2,2,2,1,3,2,3565,4,12,4,1,2,5,1,2,6,3,2,1,1
37,2,3,1,1,3,2,2118,2,9,2,1,2,1,1,1,3,3,2,2,1
35,2,3,1,1,3,2,4380,1,18,2,1,3,2,2,3,0,3,2,4,1
26,3,4,2,1,3,2,4370,1,42,3,1,3,1,2,2,3,1,2,2,0
28,3,3,2,1,2,2,1817,4,18,4,2,4,1,1,4,2,3,2,2,1
42,3,3,2,1,2,2,409,3,12,1,2,3,4,1,1,3,3,1,3,1
46,4,5,2,1,1,2,7629,4,48,4,1,4,5,1,3,9,1,2,2,1
24,3,2,1,1,2,2,433,2,6,1,1,4,4,1,2,6,1,1,2,0
26,3,2,1,1,3,2,1330,3,12,2,2,4,1,1,1,0,3,2,1,1
35,2,3,1,1,2,2,3447,4,12,1,1,4,3,1,1,8,3,2,3,1
38,3,5,1,1,3,2,368,2,6,2,2,4,5,1,2,3,3,2,4,1
32,3,3,1,1,3,2,2978,4,6,2,2,1,3,2,3,2,3,2,2,1
43,3,1,2,1,3,2,1333,1,24,3,1,4,1,1,1,0,3,3,2,0
35,2,3,2,1,3,2,2684,4,24,4,2,4,1,1,1,3,3,2,2,1
30,3,3,1,1,3,2,639,2,12,2,2,4,1,1,3,5,3,2,2,0
30,3,3,2,1,3,2,1224,4,9,4,2,3,1,1,1,0,3,2,1,1
31,3,4,1,1,3,2,929,4,24,2,2,4,5,2,3,2,2,2,2,1
42,3,3,2,1,2,2,1965,2,24,3,2,4,5,2,3,0,3,1,4,1
47,2,3,1,1,4,2,1217,1,18,2,2,4,1,2,1,4,3,2,3,0
49,2,4,1,1,3,2,1445,3,18,1,2,4,5,1,3,3,1,2,4,1
31,3,3,1,1,3,2,3651,1,12,2,1,1,4,1,2,0,3,2,3,1
65,1,1,2,2,3,2,3394,1,42,4,2,4,1,1,3,5,3,2,4,1
50,3,5,2,3,3,2,1537,2,15,4,2,4,5,2,1,3,3,2,4,1
34,4,5,2,1,3,2,6614,4,36,4,2,4,1,2,3,0,3,2,4,1
47,3,5,3,1,3,2,1393,4,12,2,1,4,1,2,2,6,1,2,4,1
22,3,4,1,1,3,2,1478,4,9,2,2,4,1,1,3,3,3,2,2,0
26,3,4,1,1,3,2,2687,3,15,2,2,2,1,2,2,9,3,1,4,1
44,3,2,2,1,2,2,5943,4,24,2,2,1,5,2,3,3,3,2,1,0
52,2,5,1,1,3,2,2315,1,10,2,2,3,1,1,1,3,3,2,4,1
35,3,4,2,1,3,2,2346,4,24,4,2,4,1,2,3,1,3,2,3,1
26,3,3,1,3,3,2,3518,4,6,2,2,2,1,1,2,0,3,1,3,1
26,3,2,1,1,2,2,3749,3,24,2,2,2,1,1,3,2,3,2,4,1
25,3,5,1,1,2,2,2991,2,30,2,2,2,5,1,3,3,3,2,4,1
36,3,3,2,1,3,2,3905,1,11,4,1,2,1,1,1,0,3,1,2,1
24,4,2,1,1,2,2,7408,2,60,2,2,4,2,1,2,0,3,2,2,0
32,3,4,2,1,3,2,2745,2,21,4,2,3,4,2,3,2,3,2,2,1
29,2,3,1,2,3,2,3590,1,12,2,1,2,1,1,2,2,3,2,2,1
45,4,2,1,1,3,2,3527,4,12,2,1,2,5,2,2,0,3,2,3,1
44,2,2,2,1,3,2,4716,1,6,4,1,1,5,1,1,0,3,2,3,1
22,2,2,2,1,2,2,1258,4,12,4,2,2,1,1,2,2,3,1,4,1
30,3,3,1,1,2,2,918,2,9,2,2,4,1,1,2,2,3,2,1,0
33,3,3,1,3,3,1,1414,2,8,2,2,4,1,1,1,3,3,2,2,1
26,4,1,1,1,2,2,5433,4,24,2,2,2,5,2,2,1,3,1,4,1
34,3,5,1,1,3,2,2578,4,24,4,2,2,4,1,3,3,3,2,2,1
41,2,2,1,1,3,2,662,1,6,2,1,3,1,2,1,0,3,2,4,1
44,3,5,2,1,3,2,5507,4,24,4,2,3,1,1,4,5,3,3,4,1
40,3,4,1,1,2,2,894,4,10,2,2,4,5,2,2,8,3,2,3,1
35,4,3,1,1,3,2,6948,2,36,2,2,2,1,2,3,1,3,1,2,1
32,3,3,2,1,3,2,701,4,12,4,2,4,1,1,3,6,3,2,2,1
51,3,5,1,1,3,2,7511,1,18,2,1,1,5,2,2,1,3,3,4,0
20,3,2,1,1,2,2,4675,4,12,2,2,1,5,1,3,1,3,1,4,1
48,4,3,1,1,3,2,12204,2,48,0,2,2,5,2,3,9,1,2,2,1
24,2,3,1,1,2,2,626,1,12,1,2,4,1,1,1,3,1,2,4,0
37,2,5,2,1,3,2,1082,2,9,2,2,4,1,1,3,3,3,2,4,1
26,3,4,2,1,3,2,5117,4,27,3,2,3,1,1,3,9,3,2,4,1
46,3,5,2,1,3,2,1582,4,18,4,2,4,4,1,3,3,3,2,4,1
26,3,3,1,1,2,2,1386,4,12,2,2,2,3,1,2,0,3,2,2,0
40,2,3,1,1,4,2,701,1,12,2,2,4,1,1,1,3,3,2,2,1
20,3,5,1,1,2,2,1967,2,24,2,2,4,1,2,3,3,3,2,4,1
27,3,3,1,1,3,2,4020,1,24,2,2,2,1,1,3,2,2,2,2,1
28,3,3,1,1,4,2,776,4,12,2,2,4,1,1,1,3,3,2,2,1
